anio,X,Y,generico_denuncia,especifico_denuncia,modalidad_denuncia,geometry,distrito
2017,-76.98278277,-12.15314588,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.98278277 -12.15314588),SAN JUAN DE MIRAFLORES
2017,-76.96235831,-12.16676335,,,,POINT (-76.96235831 -12.16676335),SAN JUAN DE MIRAFLORES
2017,-76.97330344,-12.15792181,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-76.97330344 -12.15792181),SAN JUAN DE MIRAFLORES
2017,-76.97429389,-12.15334568,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-76.97429389 -12.15334568),SAN JUAN DE MIRAFLORES
2017,-76.97509074,-12.16875736,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-76.97509074 -12.16875736),SAN JUAN DE MIRAFLORES
2017,-77.05831835,-12.03458978,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.05831835 -12.03458978),SAN MARTIN DE PORRES
2017,-77.05809763,-12.00821088,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.05809763 -12.00821088),SAN MARTIN DE PORRES
2017,-77.07382329,-12.02658769,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.07382329 -12.02658769),SAN MARTIN DE PORRES
2017,-77.04760529,-12.0287575,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.04760529 -12.0287575),SAN MARTIN DE PORRES
2017,-77.050997,-12.024045,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO A MANO ARMADA,POINT (-77.050997 -12.024045),SAN MARTIN DE PORRES
2017,-77.06391246,-12.03125731,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.06391246 -12.03125731),SAN MARTIN DE PORRES
2017,-77.05408607,-12.02892043,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-77.05408607 -12.02892043),SAN MARTIN DE PORRES
2017,-77.05564432,-12.01245624,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.05564432 -12.01245624),SAN MARTIN DE PORRES
2017,-77.0552393,-12.0226152,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.0552393 -12.0226152),SAN MARTIN DE PORRES
2017,-77.0549876,-12.01678131,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.0549876 -12.01678131),SAN MARTIN DE PORRES
2017,-77.07607333,-12.02007244,,,,POINT (-77.07607333 -12.02007244),SAN MARTIN DE PORRES
2017,-77.06290232,-12.01099301,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.06290232 -12.01099301),SAN MARTIN DE PORRES
2017,-77.057367,-12.03005,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.057367 -12.03005),SAN MARTIN DE PORRES
2017,-77.05155182,-12.0180472,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.05155182 -12.0180472),SAN MARTIN DE PORRES
2017,-77.05298156,-12.03448646,,,,POINT (-77.05298156 -12.03448646),SAN MARTIN DE PORRES
2017,-77.05226326,-12.02466924,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.05226326 -12.02466924),SAN MARTIN DE PORRES
2017,-76.9616,-12.16995001,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.9616 -12.16995001),SAN JUAN DE MIRAFLORES
2017,-76.9753896,-12.1613831,,,,POINT (-76.9753896 -12.1613831),SAN JUAN DE MIRAFLORES
2017,-76.9725921,-12.165181,DELITOS CONTRA LA SEGURIDAD PÚBLICA,SALUD PUBLICA,MICROCOMERCIALIZACION DE DROGAS,POINT (-76.9725921 -12.165181),SAN JUAN DE MIRAFLORES
2017,-76.98043619,-12.1648898,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.98043619 -12.1648898),SAN JUAN DE MIRAFLORES
2017,-76.96393898,-12.1710135,,,,POINT (-76.96393898 -12.1710135),SAN JUAN DE MIRAFLORES
2017,-76.97338877,-12.16841304,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.97338877 -12.16841304),SAN JUAN DE MIRAFLORES
2017,-76.96653846,-12.16798097,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-76.96653846 -12.16798097),SAN JUAN DE MIRAFLORES
2017,-76.97365289,-12.16222597,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.97365289 -12.16222597),SAN JUAN DE MIRAFLORES
2017,-76.97037045,-12.15693979,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.97037045 -12.15693979),SAN JUAN DE MIRAFLORES
2017,-76.97310197,-12.15663067,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.97310197 -12.15663067),SAN JUAN DE MIRAFLORES
2017,-76.97321614,-12.15819204,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO FRUSTRADO,POINT (-76.97321614 -12.15819204),SAN JUAN DE MIRAFLORES
2017,-76.95778751,-12.1618681,,,,POINT (-76.95778751 -12.1618681),SAN JUAN DE MIRAFLORES
2017,-76.97854325,-12.16263977,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.97854325 -12.16263977),SAN JUAN DE MIRAFLORES
2017,-76.96889,-12.16269921,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.96889 -12.16269921),SAN JUAN DE MIRAFLORES
2017,-77.04703246,-12.02756186,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-77.04703246 -12.02756186),SAN MARTIN DE PORRES
2017,-76.89519939,-12.01808073,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-76.89519939 -12.01808073),ATE
2017,-76.91873388,-12.02482991,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.91873388 -12.02482991),ATE
2017,-76.89339829,-12.0263437,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-76.89339829 -12.0263437),ATE
2017,-76.92117824,-12.02536341,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-76.92117824 -12.02536341),ATE
2017,-76.92117881,-12.02532384,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-76.92117881 -12.02532384),ATE
2017,-76.889862,-12.0203636,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-76.889862 -12.0203636),ATE
2017,-76.92067072,-12.02503992,,,,POINT (-76.92067072 -12.02503992),ATE
2017,-76.975586,-12.066949,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-76.975586 -12.066949),ATE
2017,-76.89018285,-12.03059611,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-76.89018285 -12.03059611),ATE
2017,-76.99592571,-12.06057158,,,,POINT (-76.99592571 -12.06057158),ATE
2017,-76.9009084,-12.01948591,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-76.9009084 -12.01948591),ATE
